Unnamed: 0,price,bed,bath,feet,address,new_flag,link,latitude,longitude
59,899000,3,2,1460,"146 White Road,Scarsdale, NY 10583",True,https://www.trulia.com/p/ny/scarsdale/146-white-rd-scarsdale-ny-10583--2009132716,40.9758487,-73.793908
60,2495000,4,4,3712,"14 White Plains Road,Bronxville, NY 10708",True,https://www.trulia.com/p/ny/bronxville/14-white-plains-rd-bronxville-ny-10708--2009221674,40.9319261,-73.8184097
61,1385000,4,3,2478,"208 Roxbury Road,Garden City, NY 11530",True,https://www.trulia.com/p/ny/garden-city/208-roxbury-rd-garden-city-ny-11530--2010317102,40.7335811,-73.6639473
62,849999,8,4,2394,"131 W Sandford Boulevard,Mount Vernon, NY 10550",True,https://www.trulia.com/p/ny/mount-vernon/131-w-sandford-blvd-mount-vernon-ny-10550--1008062230,,
63,299900,2,2,1100,"650 Warburton Avenue UNIT 6E,Yonkers, NY 10701",True,https://www.trulia.com/p/ny/yonkers/650-warburton-ave-6e-yonkers-ny-10701--2332024943,,
64,500000,5,3,1870,"149 Remington Place,New Rochelle, NY 10801",True,https://www.trulia.com/p/ny/new-rochelle/149-remington-pl-new-rochelle-ny-10801--2009237876,40.9152106,-73.7944331
65,669000,2,2,1232,"701 Ridge Hill Boulevard UNIT 6B,Yonkers, NY 10710",True,https://www.trulia.com/p/ny/yonkers/701-ridge-hill-blvd-6b-yonkers-ny-10710--2171952754,,
66,158000,,1,600,"480 Halstead Avenue UNIT 5-U,Harrison, NY 10528",True,https://www.trulia.com/p/ny/harrison/480-halstead-ave-5u-harrison-ny-10528--2174573222,,
67,599000,4,2,1314,"325 Covert Avenue,New Hyde Park, NY 11040",True,https://www.trulia.com/p/ny/new-hyde-park/325-covert-ave-new-hyde-park-ny-11040--2009462638,40.7281572,-73.68727147747408
68,480000,2,1,933,"225 Stanley Avenue UNIT 110,Mamaroneck, NY 10543",True,https://www.trulia.com/p/ny/mamaroneck/225-stanley-ave-110-mamaroneck-ny-10543--2009066277,,
69,1249000,5,4,,"11 Park Circle,Cedarhurst, NY 11516",True,https://www.trulia.com/p/ny/cedarhurst/11-park-cir-cedarhurst-ny-11516--2010299303,40.6315939,-73.72974495167385
