price,bed,bath,feet,address,new_flag,company,latitude,longitude,distance
1675000,2.0,2.0,1087.0,"710 Metropolitan Ave #5C,Brooklyn, NY 11211",True,MNS,40.7143274,-73.9452235,8.095985177363243
1725000,2.0,2.0,980.0,"710 Metropolitan Ave #4C,Brooklyn, NY 11211",True,MNS,40.7143274,-73.9452235,8.095985177363243
239000,1.0,1.0,850.0,"37-51 86th St #3N,Jackson Heights, NY 11372",True,"JOHN INGUAGGIATO, LREB",40.7486766,-73.88004121634299,8.47716292901727
699000,3.0,2.0,1876.0,"127 McArthur Ave,Staten Island, NY 10312",True,MOMENTUM REAL ESTATE LLC,40.5541451,-74.17776734253957,31.16807143355435
399000,0.0,1.0,,"225 E 36th St #3D,New York, NY 10016",True,CORCORAN,40.74668025,-73.97579415607126,4.312352109245838
369000,1.0,1.0,650.0,"4489 Broadway #6D,New York, NY 10040",True,KELLER WILLIAMS NYC,,,
689999,3.0,1.0,1036.0,"5215 Avenue L,Brooklyn, NY 11234",True,ERA TOP SERVICE REALTY INC.,40.6239047,-73.9248716769367,18.271581954697496
1398888,2.0,2.0,970.0,"630 1st Ave #34E,New York, NY 10016",True,COMPASS,40.7454336,-73.9720391,4.415321525638658
385000,0.0,1.0,475.0,"210 E 36th St #3J,New York, NY 10016",True,BOND NEW YORK,40.746539,-73.9766511438315,4.339058510192928
2350000,2.0,2.0,1180.0,"133 W 22nd St #8F,New York, NY 10011",True,DOUGLAS ELLIMAN,40.74302165,-73.9946793503658,5.176108679409514
695000,1.0,1.0,,"155 E 76th St #4C,New York, NY 10021",True,BROWN HARRIS STEVENS,40.77288755,-73.95951717458541,1.544132580486706
950000,2.0,2.0,971.0,"171 W 131st St #610,New York, NY 10027",True,DOUGLAS ELLIMAN,40.81246042857143,-73.94464128571428,3.6358010504303646
1150000,1.0,1.0,773.0,"710 Metropolitan Ave #5F,Brooklyn, NY 11211",True,MNS,40.7143274,-73.9452235,8.095985177363243
1295000,12.0,6.0,2500.0,"1665 76th St #6,Brooklyn, NY 11214",True,REMAX REAL ESTATE PROFESSIONALS,40.6148628,-73.9995858275086,19.08772492795527
1035000,1.0,1.0,680.0,"710 Metropolitan Ave #3E,Brooklyn, NY 11211",True,MNS,40.7143274,-73.9452235,8.095985177363243
685000,0.0,1.0,468.0,"710 Metropolitan Ave #3L,Brooklyn, NY 11211",True,MNS,40.7143274,-73.9452235,8.095985177363243
859000,3.0,2.0,2320.0,"5003 Avenue M,Brooklyn, NY 11234",True,FILLMORE REAL ESTATE LTD,40.6215722,-73.92687895057783,18.4925598759721
674000,3.0,3.0,1312.0,"15129 134th Ave,Jamaica, NY 11434",True,B AND R DEVELOPMENT AND SALES LLC,,,
880000,2.0,2.0,1152.0,"122 Ashland Pl #11M,Brooklyn, NY 11201",True,DOUGLAS ELLIMAN,40.692434500000005,-73.9793546947686,10.331794991109367
315000,1.0,1.0,950.0,"1625 E 13th St #3K,Brooklyn, NY 11229",True,KORR REALTY,40.6097096,-73.9602234,19.48767977485732
349000,2.0,1.0,1000.0,"224 Highland Blvd #602,Brooklyn, NY 11207",True,DOUGLAS ELLIMAN,40.6817209,-73.89310515475938,13.118743070512656
569000,2.0,1.0,,"70-31 108th St #10H,Forest Hills, NY 11375",True,BENJAMIN REALTY SINCE 1980,,,
5800000,3.0,4.0,2535.0,"555 W 22nd St #5AW,New York, NY 10011",True,CORE,40.74743754545455,-74.00541827272728,5.226249768905139
4375000,3.0,4.0,2369.0,"100 Barclay St #14G,New York, NY 10007",True,LIVING NEW YORK,40.713932,-74.012523,8.740807891001145
19500000,20.0,10.0,63000.0,"49 Ash St,Brooklyn, NY 11222",True,OXFORD PROPERTY GROUP,40.73862815,-73.95349699148488,5.308607756122287
599000,2.0,2.0,986.0,"775 Lafayette Ave #14C,Brooklyn, NY 11221",True,THE AGENCY,40.69148315,-73.9418693601585,10.631812208404586
500000,,,,"138 Grymes Hill Rd,Staten Island, NY 10301",True,SALMON REALTY GROUP,40.62330204081633,-74.09267983673469,20.81599660267911
3850000,10.0,7.0,7500.0,"46-16 Newtown Road,Long Island City, NY 11103",True,COMPASS GREATER NY LLC,,,
1295000,12.0,6.0,5400.0,"1665 76th St,Brooklyn, NY 11214",True,RE/MAX REAL ESTATE PROFESSIONA,40.6148628,-73.9995858275086,19.08772492795527
1100000,8.0,4.0,4557.0,"1739 Zerega Ave,Bronx, NY 10462",True,MAGIC OF GREAT NECK REALTY INC.,40.84056665,-73.8525283713362,11.547350644076202
1799000,3.0,2.0,1200.0,"12 Colonial Gdns,Brooklyn, NY 11209",True,COMPASS,40.62249625,-74.03972771881953,19.03857238613276
1095000,1.0,2.0,781.0,"235 E 40th St #24C,New York, NY 10016",True,BROWN HARRIS STEVENS,40.748969755102046,-73.9739428367347,4.039586850534417
1100000,2.0,2.0,,"137 E 36th St #13K,New York, NY 10016",True,CASA BLANCA REAL ESTATE,40.7477589,-73.97832760468114,4.231529594951083
349000,0.0,1.0,,"209 E 56th St #3C,New York, NY 10022",True,COLDWELL BANKER WARBURG,40.759459750000005,-73.96710557421667,2.8480788252490234
595000,1.0,1.0,,"335 E 51st St #4D,New York, NY 10022",True,DOUGLAS ELLIMAN,40.7550827,-73.9665626890463,3.3355766594784075
9500000,3.0,4.0,2340.0,"555 W 22nd St #16CW,New York, NY 10011",True,CORE,40.74743754545455,-74.00541827272728,5.226249768905139
698000,4.0,2.0,,"121-14 196th St,Springfield Gardens, NY 11413",True,"MITRA HAKIMI REALTY GROUP, LLC",,,
10350000,3.0,4.0,3086.0,"30 Riverside Blvd #37E,New York, NY 10069",True,JAY SCHNEIDER AND PARTNERS,40.7736798,-73.9918014,2.3551215860335426
6849000,5.0,6.0,2874.0,"188 E 78th St #24B,New York, NY 10075",True,DOUGLAS ELLIMAN,40.7736045,-73.9580638,1.5399833145453066
795000,,,,"56 Hallister St,Staten Island, NY 10309",True,COLDWELL BANKER ADVANTAGE,40.52522269230769,-74.21865623076923,35.79271579831508
